segments,specialities,features,combinations,description,order,rating,bestSeller,basketType,isActive,calls,callFrequency,capitalReq,avgStopLoss,callType,telegramChannelIds,w_e_segmentId,contentId,mentorId,title,publicationDate,tags,created_at,updated_at,contentBody,featuredImage,publicationDateEpoch,created_atEpoch,updated_atEpoch,cmsSlug,activationStatus,subscriptionId,name,image,videoUrl,seoTitle,jsonLD,subscriptionRating,alreadyRegistered,mentor
Equity,Technofunda Analysis for Positional Trading,Swing Trading with Fundamental Support,Trade Pick,"<p>A product designed for short term to medium term investors who are looking for a strategy which can beat index returns in a specific time period. It is based on core fundamentals of securities along with technical analysis. Stocks will find entry into the portfolio based on analysis of growth outlook, discount at which the stock is trading relative to historical valuations as well as the future growth.</p>
<p>One can use the recommendations to do investment as positional trading as per the risk appetite keeping the time horizon for around 3 to 6 months.</p>
<p>What will you get?</p>
<ul>
<li>There will be 2-3 equity recommendations in a month.</li>
<li>Combination of Small &amp; Midcap</li>
</ul>
<p>Warning – THIS PRODUCT IS NOT SUITABLE FOR THE INTRADAY TRADERS WHO WANTS TO MAKE QUICK MONEY IN A DAY.</p>
",2,,Yes,0,Yes,2-3,Monthly,25000,10%,"Positional Trading, Swing Trading",,7faa3gi,6003,24,Trade Picks,2024-06-30 16:34:20,,2024-06-30 16:34:20,2025-05-22 14:29:36,,https://signalz.pro/wp-content/uploads/2024/06/Tradepicks.jpeg,1719745460,1719745460,1747904376,value-bundle,0,6003,Sunil Kateshiya,https://signalz.pro/wp-content/uploads/2024/06/Tradepicks.jpeg,False,Trade Picks,,1,False,
Equity,Technofunda Analysis for Positional Trading,Swing Trading with Fundamental Support,Trade Pick - Once,"<p>A product designed for short term to medium term investors who are looking for a strategy which can beat index returns in a specific time period. It is based on core fundamentals of securities along with technical analysis. Stocks will find entry into the portfolio based on analysis of growth outlook, discount at which the stock is trading relative to historical valuations as well as the future growth.</p>
<p>One can use the recommendations to do investment as positional trading as per the risk appetite keeping the time horizon for around 3 to 6 months.</p>
<p>What will you get?</p>
<ul>
<li>There will be 2-3 equity recommendations in a month.</li>
<li>Combination of Small &amp; Midcap</li>
</ul>
<p>Warning – THIS PRODUCT IS NOT SUITABLE FOR THE INTRADAY TRADERS WHO WANTS TO MAKE QUICK MONEY IN A DAY.</p>
",1,,Yes,0,Yes,2-3,Monthly,25000,10%,"Positional Trading, Swing Trading",,7faa3gi,6003,24,Trade Picks,2024-06-30 16:34:20,,2024-06-30 16:34:20,2025-05-22 14:29:36,,https://signalz.pro/wp-content/uploads/2024/06/Tradepicks.jpeg,1719745460,1719745460,1747904376,value-bundle,0,6003,Sunil Kateshiya,https://signalz.pro/wp-content/uploads/2024/06/Tradepicks.jpeg,False,Trade Picks,,1,False,
Future & Options,"Technical Analysis, Fundamental Analysis",Scalping,Derivative Pro - Monthly,,1,,No,0,Yes,3-4,Daily,25000,,"Intraday Trading, Scalping",,2d73d9j,12403,71,Intraday Option Pro Pack,2025-04-28 17:34:16,,2025-04-28 17:34:16,2025-04-30 09:57:47,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,1745841856,1745841856,1745987267,derivative-pro-pack,0,12403,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,False,Intraday Option Pro Pack,,1,False,
Future & Options,"Technical Analysis, Fundamental Analysis",Scalping,Derivative Pro - Quarterly,,2,,No,0,Yes,3-4,Daily,25000,,"Intraday Trading, Scalping",,2d73d9j,12403,71,Intraday Option Pro Pack,2025-04-28 17:34:16,,2025-04-28 17:34:16,2025-04-30 09:57:47,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,1745841856,1745841856,1745987267,derivative-pro-pack,0,12403,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,False,Intraday Option Pro Pack,,1,False,
Future & Options,"Technical Analysis, Fundamental Analysis",Price Action,Derivative Pro - Monthly,,1,,No,0,Yes,3-4,Daily,25000,,"Intraday Trading, Scalping",,2d73d9j,12403,71,Intraday Option Pro Pack,2025-04-28 17:34:16,,2025-04-28 17:34:16,2025-04-30 09:57:47,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,1745841856,1745841856,1745987267,derivative-pro-pack,0,12403,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,False,Intraday Option Pro Pack,,1,False,
Future & Options,"Technical Analysis, Fundamental Analysis",Price Action,Derivative Pro - Quarterly,,2,,No,0,Yes,3-4,Daily,25000,,"Intraday Trading, Scalping",,2d73d9j,12403,71,Intraday Option Pro Pack,2025-04-28 17:34:16,,2025-04-28 17:34:16,2025-04-30 09:57:47,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,1745841856,1745841856,1745987267,derivative-pro-pack,0,12403,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_FO.png,False,Intraday Option Pro Pack,,1,False,
Equity,"Technical Analysis, Fundamental Analysis",Swing Trading,Swing+Intra Pro - Monthly,,1,,No,0,Yes,3-4,Weekly,25000,,"Intraday Trading, Swing Trading",,47nkkea,12402,71,Swing+Intra Pro Pack,2025-04-28 17:28:28,,2025-04-28 17:28:28,2025-04-29 12:01:34,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,1745841508,1745841508,1745908294,swingintra-pro-pack,0,12402,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,False,Swing+Intra Pro Pack,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Swing Trading,Swing+Intra Pro - Quarterly,,2,,No,0,Yes,3-4,Weekly,25000,,"Intraday Trading, Swing Trading",,47nkkea,12402,71,Swing+Intra Pro Pack,2025-04-28 17:28:28,,2025-04-28 17:28:28,2025-04-29 12:01:34,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,1745841508,1745841508,1745908294,swingintra-pro-pack,0,12402,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,False,Swing+Intra Pro Pack,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Intraday Trading,Swing+Intra Pro - Monthly,,1,,No,0,Yes,3-4,Weekly,25000,,"Intraday Trading, Swing Trading",,47nkkea,12402,71,Swing+Intra Pro Pack,2025-04-28 17:28:28,,2025-04-28 17:28:28,2025-04-29 12:01:34,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,1745841508,1745841508,1745908294,swingintra-pro-pack,0,12402,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,False,Swing+Intra Pro Pack,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Intraday Trading,Swing+Intra Pro - Quarterly,,2,,No,0,Yes,3-4,Weekly,25000,,"Intraday Trading, Swing Trading",,47nkkea,12402,71,Swing+Intra Pro Pack,2025-04-28 17:28:28,,2025-04-28 17:28:28,2025-04-29 12:01:34,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,1745841508,1745841508,1745908294,swingintra-pro-pack,0,12402,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,False,Swing+Intra Pro Pack,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Price Action,Swing+Intra Pro - Monthly,,1,,No,0,Yes,3-4,Weekly,25000,,"Intraday Trading, Swing Trading",,47nkkea,12402,71,Swing+Intra Pro Pack,2025-04-28 17:28:28,,2025-04-28 17:28:28,2025-04-29 12:01:34,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,1745841508,1745841508,1745908294,swingintra-pro-pack,0,12402,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,False,Swing+Intra Pro Pack,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Price Action,Swing+Intra Pro - Quarterly,,2,,No,0,Yes,3-4,Weekly,25000,,"Intraday Trading, Swing Trading",,47nkkea,12402,71,Swing+Intra Pro Pack,2025-04-28 17:28:28,,2025-04-28 17:28:28,2025-04-29 12:01:34,,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,1745841508,1745841508,1745908294,swingintra-pro-pack,0,12402,Pramod Patil,https://signalz.pro/wp-content/uploads/2025/04/Pramod-Patil_Equity.png,False,Swing+Intra Pro Pack,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Swing Trading,Options Segment - Monthly,,1,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Swing Trading,Options Segment - Quarterly,,2,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Swing Trading,Options Segment - Half-yearly,,3,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Swing Trading,Options Segment - Yearly,,4,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Scalping,Options Segment - Monthly,,1,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Scalping,Options Segment - Quarterly,,2,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Scalping,Options Segment - Half-yearly,,3,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Scalping,Options Segment - Yearly,,4,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Positional Trading,Options Segment - Monthly,,1,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Positional Trading,Options Segment - Quarterly,,2,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
Equity,"Technical Analysis, Fundamental Analysis",Positional Trading,Options Segment - Half-yearly,,3,,No,0,Yes,2-3,Daily,25000,,"Intraday Trading, Positional Trading, Swing Trading, Long-Term Trading",,~50h81mf,12846,76,Options Segment by Research Aim,2025-05-16 16:17:37,,2025-05-16 16:17:37,2025-05-20 14:03:44,,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,1747392457,1747392457,1747730024,options-segment-by-research-aim,0,12846,Kundan Mishra,https://signalz.pro/wp-content/uploads/2025/05/kundan-mishra-_option-segment_-thumbnail.jpg,False,Options Segment by Research Aim,,0,False,
